
2023/12/18 (17:59:04) | ===> btop++ v.1.2.3
2023/12/18 (17:59:04) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2023/12/30 (19:57:50) | ===> btop++ v.1.2.3
2023/12/30 (19:57:50) | ERROR: Failed to get size of terminal!

2023/12/30 (19:58:01) | ===> btop++ v.1.2.3
2023/12/30 (19:58:01) | ERROR: Failed to get size of terminal!

2023/12/30 (20:05:04) | ===> btop++ v.1.2.3
2023/12/30 (20:05:04) | ERROR: Failed to get size of terminal!

2024/08/10 (10:55:34) | ===> btop++ v.1.2.3
2024/08/10 (10:55:34) | ERROR: Stall in Runner thread, restarting!
